,Point_ID,HeadPosXB,HeadPosZB
0,0,-87.2177,-1.0273
1,1,-86.7403055352316,-1.0273
2,2,-86.2512967483638,-1.0273
3,3,-85.7593812516523,-1.0273
4,4,-85.2856811999768,-1.0273
5,5,-84.812754338582,-1.0273
6,6,-84.333496593346,-1.0273
7,7,-83.8581633738401,-1.0273
8,8,-83.3786296198848,-1.0273
9,9,-82.8975693265131,-1.0273
10,10,-82.4211625239735,-1.0273
11,11,-81.9551245258489,-1.0273
12,12,-81.4980569379081,-1.0273
13,13,-81.0362834709243,-1.0273
14,14,-80.5658468142508,-1.0273
15,15,-80.0996034013912,-1.0273
16,16,-79.638297965676,-1.0273
17,17,-79.1952710491331,-1.0273
18,18,-78.7516845696689,-1.0273
19,19,-78.3093184758012,-1.0273
20,20,-77.8952570030604,-1.0273
21,21,-77.4944440980507,-1.0273
22,22,-77.1094852672992,-1.0273
23,23,-76.7590019261892,-1.0273
24,24,-76.4079340762901,-1.0273
25,25,-76.0642531601223,-1.0273
26,26,-75.7694555362372,-1.0273
27,27,-75.4731191211006,-1.0273
28,28,-75.1997602234944,-1.0273
29,29,-74.9470327125293,-1.0273
30,30,-74.7262586901282,-1.0273
31,31,-74.4839023277124,-1.0273
32,32,-74.2630185524285,-1.0273
33,33,-74.0437140827917,-1.0273
34,34,-73.919764806948,-1.0273
35,35,-73.8041248540677,-1.0273
36,36,-73.6990672651521,-1.0273
37,37,-73.6048411683464,-1.0273
38,38,-73.5665825638309,-1.0273
39,39,-73.6192972427907,-1.0273
40,40,-73.6451514335796,-1.0273
41,41,-73.6844726070042,-1.0273
42,42,-73.7340258520384,-1.0273
43,43,-73.8366798165246,-1.0273
44,44,-73.9828769801379,-1.0273
45,45,-74.1024629341658,-1.0273
46,46,-74.2336391617575,-1.0273
47,47,-74.4074753493659,-1.0273
48,48,-74.5190202434904,-1.0273
49,49,-74.6802246149384,-1.0273
50,50,-74.905170488247,-1.0273
51,51,-75.0514567066683,-1.0273
52,52,-75.25518301282,-1.0273
53,53,-75.5372370112379,-1.0273
54,54,-75.8167058573607,-1.0273
55,55,-76.035252611843,-1.0273
56,56,-76.2627580157797,-1.0273
57,57,-76.4989187908817,-1.0273
58,58,-76.6239969471926,-1.0273
59,59,-76.8250203850491,-1.0273
60,60,-77.0491039153922,-1.0273
61,61,-77.3283673400019,-1.0273
62,62,-77.5793016690767,-1.0273
63,63,-77.8155807039128,-1.0273
64,64,-78.0219225137069,-1.0273
65,65,-78.2307893554215,-1.0273
66,66,-78.4538162701794,-1.0273
67,67,-78.7496663205583,-1.0273
68,68,-78.9887830551784,-1.0273
69,69,-79.2646582413131,-1.0273
70,70,-79.5410480367066,-1.0273
71,71,-79.7987777931953,-1.0273
72,72,-80.060287396057,-1.0273
73,73,-80.3070252896104,-1.0273
74,74,-80.5539554276218,-1.0273
75,75,-80.8075695130438,-1.0273
76,76,-81.055194658932,-1.0273
77,77,-81.3260218210742,-1.0273
78,78,-81.5923876170965,-1.0273
79,79,-81.8223021412177,-1.0273
80,80,-82.0637201778837,-1.0273
