,Point_ID,HeadPosXB,HeadPosZB
0,0,-87.18615,87.9765
1,1,-87.03796360590144,87.50295896950689
2,2,-86.88261424774177,87.02647979151519
3,3,-86.73038890489308,86.55298623833949
4,4,-86.57190889733243,86.09614808103868
5,5,-86.41129002957231,85.63147352667401
6,6,-86.2549611431231,85.16669677926618
7,7,-86.10025099879329,84.70261700855026
8,8,-85.93771121353649,84.23579180334772
9,9,-85.76660256721993,83.76572217852626
10,10,-85.5902777604412,83.30946269662024
11,11,-85.41110354844344,82.85225315679797
12,12,-85.21249906336942,82.39456371848027
13,13,-85.00513125426055,81.94270111718801
14,14,-84.79917356098247,81.49850752871839
15,15,-84.59749626560415,81.05472637981615
16,16,-84.37994309158316,80.62282760095508
17,17,-84.13649755653185,80.19567510026262
18,18,-83.89360642094411,79.76448746935915
19,19,-83.65397597670574,79.34888712554033
20,20,-83.40339392556655,78.94567213762278
21,21,-83.1369345357231,78.54236569614203
22,22,-82.84851549983549,78.15624897060609
23,23,-82.56398815526813,77.78081279376332
24,24,-82.24473025403887,77.41674698555032
25,25,-81.90613619718843,77.06503328906756
26,26,-81.55450976120243,76.71944655184242
27,27,-81.18974470156199,76.38408542752117
28,28,-80.79752984382321,76.06122619738306
29,29,-80.39155183208439,75.74665030605365
30,30,-79.97524058687654,75.44245130388231
31,31,-79.54891792163541,75.17405837723211
32,32,-79.12405791050085,74.90879777222352
33,33,-78.70081437311019,74.67086262741759
34,34,-78.26145534719159,74.44185944849863
35,35,-77.82537111759771,74.27548899805294
36,36,-77.37833132308175,74.10027038056094
37,37,-76.92223216073377,73.94372604115853
38,38,-76.45645024795408,73.76439386471452
39,39,-75.97067745682389,73.6083449023898
40,40,-75.47998188214044,73.49832202691607
41,41,-74.98570321016518,73.40918396666737
42,42,-74.48898024767841,73.33754203768581
43,43,-73.99088118719104,73.27015401070159
44,44,-73.4923019631205,73.22615831477972
45,45,-72.99733851102965,73.22237434934593
46,46,-72.52251572853905,73.23534715155743
47,47,-72.04774446141514,73.2666496767502
48,48,-71.57304828990532,73.32334047724765
49,49,-71.0996669631987,73.38108388544472
50,50,-70.61961773489143,73.43750838547882
51,51,-70.14126841804324,73.5080890482435
52,52,-69.66417100636768,73.5901471576552
53,53,-69.1964824361821,73.69479296320156
54,54,-68.74243226589189,73.81842571645406
55,55,-68.2904133022381,73.93125268296741
56,56,-67.83995496965312,74.08586855713109
57,57,-67.37700392776284,74.25163618427528
58,58,-66.90567845926176,74.38685724278322
59,59,-66.43767470923586,74.52856206531386
60,60,-65.97346693284433,74.68179780566204
61,61,-65.51040713612927,74.84643778425794
62,62,-65.05063739261564,75.02254049734188
63,63,-64.59618051113895,75.20996529163773
64,64,-64.14630500466157,75.42399319450791
65,65,-63.70630374045753,75.64329172243441
66,66,-63.27043068748654,75.86940535527371
67,67,-62.826821762018895,76.0905972024527
68,68,-62.38458159227365,76.30476842391144
69,69,-61.95498884174052,76.51732201458313
70,70,-61.53892900942348,76.7565282262315
71,71,-61.145754770360426,77.019653454738
72,72,-60.72902607015587,77.28379936075753
73,73,-60.3039854956118,77.54969109129598
74,74,-59.87258388205194,77.86761283465671
75,75,-59.443045234148954,78.18537258920463
76,76,-59.025223695888116,78.45966482324957
77,77,-58.61114837359831,78.72699823416878
78,78,-58.19856354992555,78.99439952042502
79,79,-57.78742721150711,79.26161192931845
80,80,-57.378945684861854,79.53193757374709
81,81,-56.979112288118145,79.81991042038833
82,82,-56.579342872024284,80.10768880881005
83,83,-56.179602314403795,80.39584545855536
84,84,-55.77995616968891,80.68467117535945
85,85,-55.38000425373542,80.96084903093461
86,86,-54.97937978986218,81.23538142226262
87,87,-54.57732278211712,81.53425128800401
88,88,-54.166410597665006,81.82997120530908
89,89,-53.751333095797676,82.1222074318961
90,90,-53.33545556785771,82.41112234389415
91,91,-52.92130797620988,82.6963245732316
92,92,-52.51759232985573,82.97823427391828
93,93,-52.10498239478627,83.25655825314294
94,94,-51.68039703855898,83.53072294193106
95,95,-51.251714650830245,83.79608992316875
96,96,-50.82196444714225,84.0569660858809
97,97,-50.41215275372754,84.31157127737518
98,98,-50.00035824723953,84.5699184509586
99,99,-49.58589916223828,84.82446800899575
100,100,-49.16020489769632,85.08490908691877
101,101,-48.72191856326745,85.33229611818054
102,102,-48.28055996090754,85.57020656271261
103,103,-47.8341763607492,85.7924398701183
104,104,-47.38282710332427,85.99920849991331
105,105,-46.92602251783288,86.19919054490359
106,106,-46.46847867358382,86.35884693213
107,107,-46.00336240108247,86.4800246280974
108,108,-45.53210383976642,86.54773975686604
109,109,-45.05481614007658,86.64721597250531
110,110,-44.57273725162101,86.7336517389537
111,111,-44.08771051688223,86.79369901798964
112,112,-43.60360383505669,86.74985022961754
113,113,-43.11791326056871,86.65506234977272
114,114,-42.63169061684477,86.63585748653313
115,115,-42.146157285919884,86.62744654106345
116,116,-41.66201652858288,86.60510562650511
117,117,-41.182448596644974,86.44790110012218
118,118,-40.71197696036569,86.40683359331993
119,119,-40.26868481956836,86.29289703735452
120,120,-39.829223239097175,86.10338301302335
121,121,-39.40286467453906,85.94126912908595
122,122,-39.00872762999978,85.73651212115041
123,123,-38.640841039776475,85.51145298085265
124,124,-38.27291590771131,85.29954764665882
125,125,-37.93240589127975,84.97023218171209
126,126,-37.59868551879546,84.61816129435843
127,127,-37.26890867126521,84.24257172771783
128,128,-36.93882928204569,83.90061086163492
129,129,-36.59823259884787,83.53410652925093
130,130,-36.309603627163014,83.12148757271191
131,131,-36.05142704022401,82.71766503874528
132,132,-35.80419397998702,82.32440589339242
133,133,-35.58350756526743,81.91993521369044
134,134,-35.35581423791473,81.50537172680694
135,135,-35.092832492976626,81.08289693146136
136,136,-34.86059868511795,80.6478513855796
137,137,-34.651819192359184,80.19513905586237
138,138,-34.432239804906914,79.7383151669337
139,139,-34.19710121227752,79.27797233449442
140,140,-33.975973841798606,78.81963218418016
141,141,-33.82066477350567,78.36572483854519
142,142,-33.64729144187967,77.90722208861996
143,143,-33.502213011270925,77.44426269833468
144,144,-33.363910197052306,76.96866550711195
145,145,-33.23228342516549,76.50556098959376
146,146,-33.1076410847796,76.0435372040088
147,147,-32.952166398935624,75.56602727600733
