,Point_ID,HeadPosXB,HeadPosZB
0,0,-87.4821,-84.968
1,1,-87.00586973945856,-84.8637844351809
2,2,-86.52102916744848,-84.75413199304211
3,3,-86.03424497894027,-84.64820567661354
4,4,-85.55116153441006,-84.53386364029086
5,5,-85.0744950966853,-84.41122086964734
6,6,-84.58988534467986,-84.27978690965148
7,7,-84.09939736348886,-84.15729346605121
8,8,-83.61339586041593,-84.02979295026186
9,9,-83.1303175244628,-83.90103010354575
10,10,-82.66917402831788,-83.75245220220256
11,11,-82.19887799920141,-83.59011015280895
12,12,-81.73592032135896,-83.4223217929066
13,13,-81.27408095423417,-83.25009902442636
14,14,-80.82744245313403,-83.06687861001447
15,15,-80.38535195639328,-82.87145852870367
16,16,-79.95058683219537,-82.6630093539154
17,17,-79.52532227175094,-82.44030230557077
18,18,-79.10930082946659,-82.20279932983674
19,19,-78.69906616982098,-81.94990729347714
20,20,-78.27568168959023,-81.66941026338752
21,21,-77.85310407015653,-81.38720691904172
22,22,-77.4498107330523,-81.08432019321064
23,23,-77.0901460393728,-80.76550752650054
24,24,-76.74802905962402,-80.436522933594
25,25,-76.42478997644197,-80.0922528931536
26,26,-76.10307397942348,-79.7265581545533
27,27,-75.77278294212816,-79.3337703635843
28,28,-75.47090840801211,-78.92522306342002
29,29,-75.2173144465739,-78.50264715773592
30,30,-74.95887843291185,-78.06743204105733
31,31,-74.7528775965798,-77.62067370631871
32,32,-74.54318066741929,-77.16122870588941
33,33,-74.39959752748068,-76.68799157505849
34,34,-74.2481118483555,-76.2192157413552
35,35,-74.12007246044746,-75.7442469693035
36,36,-74.05779749918325,-75.25921559436263
37,37,-73.96578773903883,-74.7703877012518
38,38,-73.89240480383633,-74.27912369657757
39,39,-73.86509463447852,-73.7865888714005
40,40,-73.9048046164375,-73.29383761660972
41,41,-73.94908994114212,-72.80179775854414
42,42,-74.04731610901793,-72.31126176493541
43,43,-74.14402316877643,-71.82959304710938
44,44,-74.25531139068103,-71.36282720768592
45,45,-74.38044372575965,-70.90199534317695
46,46,-74.5181731549822,-70.44679493269308
47,47,-74.66689272414169,-69.98996757755802
48,48,-74.8254246344698,-69.51385356422078
49,49,-74.94355090693121,-69.04047587422876
50,50,-75.06577851840458,-68.57296201017323
51,51,-75.24391521914457,-68.10788311989351
52,52,-75.45164769930433,-67.6460620148075
53,53,-75.6655998437536,-67.19089345891327
54,54,-75.88418625009122,-66.76049023494689
55,55,-76.09448971321136,-66.335461864598
56,56,-76.29615739061991,-65.91540227299721
57,57,-76.51112513621796,-65.50026396471277
58,58,-76.73755852226017,-65.05521180351518
59,59,-76.97447709844933,-64.60629547802824
60,60,-77.22039972037105,-64.15877340740677
61,61,-77.4730737583683,-63.71342122995715
62,62,-77.72993830272272,-63.27000028171669
63,63,-77.97836664258756,-62.82851550195954
64,64,-78.24515635538268,-62.406115348762626
65,65,-78.49846819221152,-62.00548770684431
66,66,-78.74911618827255,-61.57329169633465
67,67,-78.99807660974615,-61.145445104603084
68,68,-79.24154755628031,-60.71004562196508
69,69,-79.4857816648883,-60.26707432885694
70,70,-79.72629134284219,-59.8183474288333
71,71,-79.96689576179632,-59.37209422964094
72,72,-80.20891207099866,-58.944417964354486
73,73,-80.45374667308897,-58.527182317707506
74,74,-80.69634186625474,-58.10786588338878
75,75,-80.93791175039946,-57.69702100327382
76,76,-81.20740618838845,-57.291922125852
77,77,-81.48271228202861,-56.89255542420732
78,78,-81.75209508823252,-56.484376040908145
79,79,-82.02264707690803,-56.06643672438908
80,80,-82.29073621664664,-55.64781521111363
81,81,-82.55575553273933,-55.23748596145017
82,82,-82.8158850897764,-54.84607544329176
83,83,-83.06993407213577,-54.435850694897205
84,84,-83.30421698208143,-54.01453405883961
85,85,-83.55249574912384,-53.59043095286788
86,86,-83.7925768765347,-53.16301625539781
87,87,-84.0133700569157,-52.73241581115556
88,88,-84.27127301557434,-52.29913386103412
89,89,-84.52427507274025,-51.86331380015514
90,90,-84.77018874367887,-51.42500914761956
91,91,-85.01937989646582,-50.988966424246904
92,92,-85.247048885504,-50.56188377797821
93,93,-85.46662824645722,-50.13212424496406
94,94,-85.67615233988585,-49.69953491270926
95,95,-85.88966530855765,-49.263931779620385
96,96,-86.10538477162899,-48.81092413911405
97,97,-86.31917760461353,-48.34309681237668
98,98,-86.5283317189214,-47.87550545733027
99,99,-86.7262495975306,-47.40641249033354
100,100,-86.90790569859679,-46.933382918953725
101,101,-87.0589031879929,-46.45998358448103
102,102,-87.18605737609698,-45.98681570788925
103,103,-87.32638908941125,-45.51593917528007
104,104,-87.41686776809014,-45.04248038589042
105,105,-87.40773352511087,-44.56723717315321
106,106,-87.49631856205087,-44.09350285981297
107,107,-87.60839136198955,-43.61924753793572
108,108,-87.72296723526043,-43.1442063843555
109,109,-87.77468540717595,-42.66810272784898
110,110,-87.88023698071312,-42.19071258840114
111,111,-87.97350823471112,-41.71182192762153
112,112,-87.94914313214588,-41.23098730680275
113,113,-87.94086569105458,-40.75687344875709
114,114,-87.90223766461622,-40.27621782568666
115,115,-87.83911357386509,-39.791958925996646
116,116,-87.73833455695615,-39.305869194874376
117,117,-87.66367042351581,-38.81872948068534
118,118,-87.50419652421049,-38.33111296778108
