,Point_ID,HeadPosXA,HeadPosZA
0,0,0.62,-75.6889
1,1,0.62,-75.653251209248
2,2,0.62,-75.6240669479636
3,3,0.62,-75.5963456746875
4,4,0.62,-75.5706315937092
5,5,0.62,-75.55981111565
6,6,0.62,-75.5536516813938
7,7,0.62,-75.5606043810555
8,8,0.62,-75.5564120314
9,9,0.62,-75.5575226297655
10,10,0.62,-75.5622563005196
11,11,0.62,-75.5809330518075
12,12,0.62,-75.605476818054
13,13,0.62,-75.6298338776633
14,14,0.62,-75.6681037347172
15,15,0.62,-75.7128021878167
16,16,0.62,-75.7594994338146
17,17,0.62,-75.8421533052374
18,18,0.62,-75.915810857749
19,19,0.62,-75.9679300852788
20,20,0.62,-76.0542878389819
21,21,0.62,-76.1476947105658
22,22,0.62,-76.2481186333234
23,23,0.62,-76.3389334100528
24,24,0.62,-76.4222523004322
25,25,0.62,-76.5109791988906
26,26,0.62,-76.6044486778576
27,27,0.62,-76.7179194062609
28,28,0.62,-76.8537126155101
29,29,0.62,-77.0007554930671
30,30,0.62,-77.1556567931524
31,31,0.62,-77.2956147161068
32,32,0.62,-77.4562084520126
33,33,0.62,-77.63709730617
34,34,0.62,-77.8254516219685
35,35,0.62,-77.9993698869068
36,36,0.62,-78.1986930888633
37,37,0.62,-78.3832904211828
38,38,0.62,-78.5772384656229
39,39,0.62,-78.778969257019
40,40,0.62,-78.9900504086517
41,41,0.62,-79.2211706050292
42,42,0.62,-79.4465058449371
43,43,0.62,-79.6712299769044
44,44,0.62,-79.9133680524095
45,45,0.62,-80.162563487972
46,46,0.62,-80.4183636689021
47,47,0.62,-80.6920539010513
48,48,0.62,-80.9442511958338
49,49,0.62,-81.2135796838379
50,50,0.62,-81.4853611847524
51,51,0.62,-81.7583485471087
52,52,0.62,-82.068690432274
53,53,0.62,-82.3901922466256
54,54,0.62,-82.6788817834898
55,55,0.62,-82.9557951850634
56,56,0.62,-83.2349984339667
57,57,0.62,-83.5035385526296
58,58,0.62,-83.7640077170539
59,59,0.62,-84.0180526766609
60,60,0.62,-84.2946869681771
61,61,0.62,-84.6127951301925
62,62,0.62,-84.9156647097158
63,63,0.62,-85.1893462960076
64,64,0.62,-85.4401107637051
65,65,0.62,-85.6852815345753
66,66,0.62,-85.9188035303038
67,67,0.62,-86.1146498783641
68,68,0.62,-86.3589373451381
69,69,0.62,-86.5728947549398
70,70,0.62,-86.7595001882673
71,71,0.62,-86.917278341749
72,72,0.62,-87.0826578804735
73,73,0.62,-87.2318296198969
74,74,0.62,-87.3880078785975
75,75,0.62,-87.5140484164708
76,76,0.62,-87.6293743686726
77,77,0.62,-87.7354658652591
78,78,0.62,-87.8485788348987
79,79,0.62,-87.9759265697087
80,80,0.62,-88.1139058090403
81,81,0.62,-88.185501722078
82,82,0.62,-88.2331524273828
83,83,0.62,-88.225243044644
84,84,0.62,-88.2452761505705
85,85,0.62,-88.2706941921696
86,86,0.62,-88.3113256777022
87,87,0.62,-88.299737823634
88,88,0.62,-88.2916423670104
89,89,0.62,-88.2450561368229
90,90,0.62,-88.2081111865134
91,91,0.62,-88.1304091003094
92,92,0.62,-88.0602683835067
93,93,0.62,-87.930765461527
94,94,0.62,-87.8186351597388
95,95,0.62,-87.7079578998144
96,96,0.62,-87.569806097926
97,97,0.62,-87.4477988593482
98,98,0.62,-87.2399891189547
99,99,0.62,-87.0470716838046
100,100,0.62,-86.8355790704841
101,101,0.62,-86.6389392785457
102,102,0.62,-86.4225038429849
103,103,0.62,-86.1326800716507
