,Point_ID,HeadPosXA,HeadPosZA
0,0,0.66,-75.7109
1,1,0.66,-75.6991822667064
2,2,0.66,-75.6966096982281
3,3,0.66,-75.6923942127045
4,4,0.66,-75.698652663252
5,5,0.66,-75.6950463149166
6,6,0.66,-75.7047068408041
7,7,0.66,-75.7136795036277
8,8,0.66,-75.7253110250448
9,9,0.66,-75.7512296618754
10,10,0.66,-75.7809466290853
11,11,0.66,-75.8092783956805
12,12,0.66,-75.8374228098438
13,13,0.66,-75.8722421369509
14,14,0.66,-75.9061529937956
15,15,0.66,-75.949460192272
16,16,0.66,-75.9989711301791
17,17,0.66,-76.0563313125894
18,18,0.66,-76.1222361648345
19,19,0.66,-76.1831870915542
20,20,0.66,-76.2485004725351
21,21,0.66,-76.3191025523794
22,22,0.66,-76.3949646693305
23,23,0.66,-76.476170090531
24,24,0.66,-76.5620428148018
25,25,0.66,-76.6562403490634
26,26,0.66,-76.7559291766511
27,27,0.66,-76.8667366298444
28,28,0.66,-76.9986385203481
29,29,0.66,-77.1375247780633
30,30,0.66,-77.2830966038571
31,31,0.66,-77.4152347649158
32,32,0.66,-77.5549909259401
33,33,0.66,-77.7136271330926
34,34,0.66,-77.8796956423962
35,35,0.66,-78.0517642912124
36,36,0.66,-78.2307520820088
37,37,0.66,-78.4159002692018
38,38,0.66,-78.607074033994
39,39,0.66,-78.8251013846096
40,40,0.66,-79.0528658074832
41,41,0.66,-79.2890221793528
42,42,0.66,-79.523873412699
43,43,0.66,-79.7490485342464
44,44,0.66,-79.9977580259544
45,45,0.66,-80.2561713629892
46,46,0.66,-80.5207662536407
47,47,0.66,-80.7911019033981
48,48,0.66,-81.0669485321387
49,49,0.66,-81.3473420793896
50,50,0.66,-81.6330432827626
51,51,0.66,-81.9231025834934
52,52,0.66,-82.2128424796676
53,53,0.66,-82.5169289299391
54,54,0.66,-82.7927007719364
55,55,0.66,-83.0786352622624
56,56,0.66,-83.3773727898482
57,57,0.66,-83.6718506991402
58,58,0.66,-83.9801728967237
59,59,0.66,-84.2836276001737
60,60,0.66,-84.5753915800576
61,61,0.66,-84.8338092806648
62,62,0.66,-85.0809211982413
63,63,0.66,-85.3602214301718
64,64,0.66,-85.5930995296098
65,65,0.66,-85.8262244424212
66,66,0.66,-86.0539972993714
67,67,0.66,-86.2319300477944
68,68,0.66,-86.4110240910947
69,69,0.66,-86.6310409833799
70,70,0.66,-86.8277072800668
71,71,0.66,-86.9660152998295
72,72,0.66,-87.1449816542708
73,73,0.66,-87.3109653520651
74,74,0.66,-87.448003905961
75,75,0.66,-87.6247306775045
