,Point_ID,HeadPosXA,HeadPosZA
0,0,0.57,-75.7572
1,1,0.57,-75.702273265837
2,2,0.57,-75.6490297792367
3,3,0.57,-75.6076849654083
4,4,0.57,-75.5647732399397
5,5,0.57,-75.5251266874008
6,6,0.57,-75.4913484571742
7,7,0.57,-75.4791783276673
8,8,0.57,-75.4682371298812
9,9,0.57,-75.4680446035152
10,10,0.57,-75.4769584551355
11,11,0.57,-75.486056133506
12,12,0.57,-75.5005784395823
13,13,0.57,-75.5206131389124
14,14,0.57,-75.5490327459696
15,15,0.57,-75.5815374914242
16,16,0.57,-75.6183114568994
17,17,0.57,-75.6652878819068
18,18,0.57,-75.7201637957751
19,19,0.57,-75.7830656792188
20,20,0.57,-75.8540132477253
21,21,0.57,-75.9339545897973
22,22,0.57,-76.04188598457
23,23,0.57,-76.1314104144735
24,24,0.57,-76.2219915636528
25,25,0.57,-76.3276302416843
26,26,0.57,-76.4360450044017
27,27,0.57,-76.5329070265739
28,28,0.57,-76.6535878013727
29,29,0.57,-76.7951844369922
30,30,0.57,-76.9280117275702
31,31,0.57,-77.0548966542201
32,32,0.57,-77.2015894578143
33,33,0.57,-77.3735729402287
34,34,0.57,-77.5600516808438
35,35,0.57,-77.7570126958117
36,36,0.57,-77.9606776618785
37,37,0.57,-78.1544395947827
38,38,0.57,-78.356781381295
39,39,0.57,-78.5677411232044
40,40,0.57,-78.7869065966552
41,41,0.57,-79.0132069878664
42,42,0.57,-79.2403633602379
43,43,0.57,-79.4752940378661
44,44,0.57,-79.7163563164763
45,45,0.57,-79.9540526588209
46,46,0.57,-80.1950562672775
47,47,0.57,-80.4596895036514
48,48,0.57,-80.7517681030818
49,49,0.57,-81.0649405903389
50,50,0.57,-81.3451943433502
51,51,0.57,-81.6287483469604
52,52,0.57,-81.9094781906458
53,53,0.57,-82.217033629078
54,54,0.57,-82.5314035655812
55,55,0.57,-82.8440681897563
56,56,0.57,-83.1542135582389
57,57,0.57,-83.4612109053701
58,58,0.57,-83.6736871895622
59,59,0.57,-83.9475676653323
60,60,0.57,-84.2394878590272
61,61,0.57,-84.4705109843439
62,62,0.57,-84.7468303571883
63,63,0.57,-85.0270659217187
64,64,0.57,-85.2874066873794
65,65,0.57,-85.5287730071625
66,66,0.57,-85.7480842197746
67,67,0.57,-85.9636818516943
68,68,0.57,-86.1657198321569
69,69,0.57,-86.3649666227782
70,70,0.57,-86.5180057982552
71,71,0.57,-86.6527566430844
72,72,0.57,-86.780484689912
73,73,0.57,-86.9817840761694
74,74,0.57,-87.2516269331182
75,75,0.57,-87.3453378052322
76,76,0.57,-87.4103799492471
77,77,0.57,-87.5363787698993
78,78,0.57,-87.6720479749914
79,79,0.57,-87.7706263253978
80,80,0.57,-87.8818668854603
81,81,0.57,-88.0202179372337
82,82,0.57,-88.092019169296
83,83,0.57,-88.1429452425164
84,84,0.57,-88.2256430652156
85,85,0.57,-88.2638618113781
86,86,0.57,-88.2569013431107
87,87,0.57,-88.2890500923521
88,88,0.57,-88.3331354288547
89,89,0.57,-88.3096852306056
90,90,0.57,-88.2709681545566
91,91,0.57,-88.2217941676316
92,92,0.57,-88.1632717668529
93,93,0.57,-88.0840845183156
94,94,0.57,-87.981387313757
95,95,0.57,-87.8546111777854
96,96,0.57,-87.7050084522617
97,97,0.57,-87.5304825133828
98,98,0.57,-87.3467341998523
99,99,0.57,-87.1451493034154
100,100,0.57,-86.9295262244763
101,101,0.57,-86.7020714024124
102,102,0.57,-86.4758164715852
103,103,0.57,-86.2295809756742
104,104,0.57,-85.9642638001107
105,105,0.57,-85.7118462916781
106,106,0.57,-85.4496899109663
107,107,0.57,-85.1067084926107
108,108,0.57,-84.7896182406381
109,109,0.57,-84.4142912637693
110,110,0.57,-84.0579875927218
111,111,0.57,-83.7192834722948
112,112,0.57,-83.4086320258636
113,113,0.57,-82.9886961955083
114,114,0.57,-82.5747175925376
115,115,0.57,-82.1742716955218
116,116,0.57,-81.7640664354724
117,117,0.57,-81.3441151112414
118,118,0.57,-80.916183911291
119,119,0.57,-80.4816976925781
120,120,0.57,-80.0415418743298
121,121,0.57,-79.5964168378567
122,122,0.57,-79.1470208964583
123,123,0.57,-78.6660163864429
124,124,0.57,-78.1644973625501
125,125,0.57,-77.6626781043312
126,126,0.57,-77.1607641336365
127,127,0.57,-76.6638296574195
128,128,0.57,-76.2068503001162
129,129,0.57,-75.7496135434644
130,130,0.57,-75.2922714288834
131,131,0.57,-74.8349285159981
132,132,0.57,-74.3776196916592
133,133,0.57,-73.9205971013323
134,134,0.57,-73.4722413168714
135,135,0.57,-73.023569351065
136,136,0.57,-72.5748307644208
137,137,0.57,-72.1258117245227
138,138,0.57,-71.6763669161812
139,139,0.57,-71.2266555680417
140,140,0.57,-70.7768268205652
141,141,0.57,-70.3268798808495
142,142,0.57,-69.8770252519093
143,143,0.57,-69.4273632083342
144,144,0.57,-68.9777893596944
145,145,0.57,-68.5282737579448
146,146,0.57,-68.0719641109043
