,Point_ID,HeadPosXB,HeadPosZB
0,0,-86.2613,-0.95
1,1,-85.772399988772,-0.95
2,2,-85.2835050005906,-0.95
3,3,-84.7975591708593,-0.95
4,4,-84.3164514286434,-0.95
5,5,-83.8386810176713,-0.95
6,6,-83.3528652254069,-0.95
7,7,-82.8677749544204,-0.95
8,8,-82.3904413702219,-0.95
9,9,-81.9085212550996,-0.95
10,10,-81.4304949203851,-0.95
11,11,-80.9539988885656,-0.95
12,12,-80.4832539600509,-0.95
13,13,-80.0238349367793,-0.95
14,14,-79.5762488698101,-0.95
15,15,-79.1330490856492,-0.95
16,16,-78.6937612397815,-0.95
17,17,-78.2639406469695,-0.95
18,18,-77.84690700922,-0.95
19,19,-77.4598062546844,-0.95
20,20,-77.069195709361,-0.95
21,21,-76.7064596386696,-0.95
22,22,-76.3784789666405,-0.95
23,23,-76.0839022647453,-0.95
24,24,-75.8195509628872,-0.95
25,25,-75.5520518272304,-0.95
26,26,-75.2702643882233,-0.95
27,27,-75.0400429203439,-0.95
28,28,-74.8114871096677,-0.95
29,29,-74.6044693224136,-0.95
30,30,-74.4366927807685,-0.95
31,31,-74.3060832485984,-0.95
32,32,-74.1901670677799,-0.95
33,33,-74.0748711149514,-0.95
34,34,-74.0212704516629,-0.95
35,35,-73.9540570925136,-0.95
36,36,-73.9786469424017,-0.95
37,37,-74.0040209319388,-0.95
38,38,-74.0200596539311,-0.95
39,39,-74.0554494394513,-0.95
40,40,-74.0916913220592,-0.95
41,41,-74.176225333815,-0.95
42,42,-74.291997810105,-0.95
43,43,-74.3879194287683,-0.95
44,44,-74.4911594804009,-0.95
45,45,-74.626687362451,-0.95
46,46,-74.7842824702881,-0.95
47,47,-74.9379689855202,-0.95
48,48,-75.1132968630211,-0.95
49,49,-75.3048195655588,-0.95
50,50,-75.4996667807233,-0.95
51,51,-75.6986560074126,-0.95
52,52,-75.8978035303565,-0.95
53,53,-76.0927290100665,-0.95
54,54,-76.3028085785105,-0.95
55,55,-76.5317785674789,-0.95
56,56,-76.7916366361829,-0.95
57,57,-77.0495842178607,-0.95
58,58,-77.3002642287716,-0.95
59,59,-77.5446330904072,-0.95
60,60,-77.805021916733,-0.95
61,61,-78.0557125121932,-0.95
62,62,-78.3113076637847,-0.95
63,63,-78.5729205854581,-0.95
64,64,-78.8393112629071,-0.95
65,65,-79.0715237090917,-0.95
66,66,-79.2922762694762,-0.95
67,67,-79.5357564142445,-0.95
68,68,-79.7961773828307,-0.95
69,69,-80.058165996231,-0.95
70,70,-80.3201354264613,-0.95
71,71,-80.5691681296361,-0.95
72,72,-80.8136817934467,-0.95
73,73,-81.0351062412125,-0.95
74,74,-81.3032856669105,-0.95
75,75,-81.5716329909845,-0.95
76,76,-81.8497698465513,-0.95
77,77,-82.1290947891162,-0.95
78,78,-82.3929241648602,-0.95
79,79,-82.6291036712452,-0.95
80,80,-82.8648724916813,-0.95
81,81,-83.0914665978434,-0.95
82,82,-83.3173837692378,-0.95
83,83,-83.5542107996978,-0.95
84,84,-83.7969341476442,-0.95
85,85,-84.0609006268192,-0.95
86,86,-84.3376808874156,-0.95
87,87,-84.5880908210611,-0.95
88,88,-84.8541027104028,-0.95
89,89,-85.0871453147074,-0.95
90,90,-85.3075919012552,-0.95
91,91,-85.5269116653658,-0.95
92,92,-85.764602258994,-0.95
93,93,-85.9967755803011,-0.95
94,94,-86.2118506893974,-0.95
95,95,-86.4074018087025,-0.95
96,96,-86.6288402448999,-0.95
97,97,-86.8213067114653,-0.95
98,98,-86.9877415622698,-0.95
99,99,-87.1498312421699,-0.95
100,100,-87.300987524105,-0.95
101,101,-87.4436607120822,-0.95
102,102,-87.5533275699247,-0.95
103,103,-87.6680643147739,-0.95
104,104,-87.7509923777088,-0.95
105,105,-87.8631461155967,-0.95
106,106,-87.899723907334,-0.95
107,107,-88.0040382012744,-0.95
108,108,-88.0753013462207,-0.95
109,109,-88.0804180174914,-0.95
110,110,-88.0582654988673,-0.95
111,111,-88.0224044878407,-0.95
112,112,-87.9346635254566,-0.95
113,113,-87.8323868731166,-0.95
114,114,-87.6787838624547,-0.95
115,115,-87.5113007920831,-0.95
116,116,-87.3782965678925,-0.95
117,117,-87.163548779874,-0.95
118,118,-86.9640342175647,-0.95
119,119,-86.7083702028585,-0.95
120,120,-86.4679221344286,-0.95
121,121,-86.1679671456141,-0.95
122,122,-85.905294989298,-0.95
123,123,-85.6128800675451,-0.95
124,124,-85.2913183296092,-0.95
125,125,-84.9704207847215,-0.95
126,126,-84.6103262672694,-0.95
127,127,-84.2351282310104,-0.95
128,128,-83.8458357238217,-0.95
129,129,-83.4467815207656,-0.95
130,130,-83.0353268261361,-0.95
131,131,-82.6152033131207,-0.95
132,132,-82.1917248701658,-0.95
133,133,-81.7585978940059,-0.95
134,134,-81.3186488177142,-0.95
135,135,-80.8796515571955,-0.95
136,136,-80.4348472438925,-0.95
137,137,-79.9743170469656,-0.95
138,138,-79.5038001304724,-0.95
139,139,-79.0301456388587,-0.95
140,140,-78.5695151481911,-0.95
141,141,-78.1255606963113,-0.95
142,142,-77.6693245211995,-0.95
143,143,-77.1877035234496,-0.95
144,144,-76.7023149965593,-0.95
145,145,-76.2140488535301,-0.95
146,146,-75.7236210312585,-0.95
147,147,-75.2316535338897,-0.95
148,148,-74.7387794596936,-0.95
149,149,-74.2555579321105,-0.95
150,150,-73.7810554789865,-0.95
151,151,-73.3049573538477,-0.95
152,152,-72.8274242228249,-0.95
153,153,-72.3486348761871,-0.95
154,154,-71.8687768729867,-0.95
155,155,-71.388138628223,-0.95
156,156,-70.9069569148992,-0.95
157,157,-70.425581774227,-0.95
158,158,-69.9361226670454,-0.95
159,159,-69.4431011185862,-0.95
160,160,-68.9501885478167,-0.95
161,161,-68.4571487304445,-0.95
162,162,-67.96395299387,-0.95
163,163,-67.470628527862,-0.95
164,164,-66.9771894743109,-0.95
165,165,-66.4835126065628,-0.95
166,166,-65.9893644675828,-0.95
167,167,-65.4945467756995,-0.95
168,168,-64.9990664825926,-0.95
169,169,-64.5029688564504,-0.95
170,170,-64.0062519638344,-0.95
171,171,-63.5090912484749,-0.95
172,172,-63.0116384549469,-0.95
173,173,-62.5140761954281,-0.95
174,174,-62.0165912922373,-0.95
175,175,-61.5193982535222,-0.95
176,176,-61.0252547777064,-0.95
177,177,-60.5455066896035,-0.95
178,178,-60.0686187783469,-0.95
179,179,-59.594580068584,-0.95
180,180,-59.1230660861181,-0.95
181,181,-58.6339751687607,-0.95
182,182,-58.1457680525815,-0.95
183,183,-57.6600340844541,-0.95
184,184,-57.2047908256877,-0.95
185,185,-56.7247079205863,-0.95
186,186,-56.2480826768566,-0.95
187,187,-55.7658380943174,-0.95
188,188,-55.2835041579647,-0.95
189,189,-54.8170335991408,-0.95
190,190,-54.3559604184905,-0.95
191,191,-53.8968276477439,-0.95
192,192,-53.4209996732678,-0.95
193,193,-52.9494274044666,-0.95
194,194,-52.4957966757215,-0.95
195,195,-52.0553457887154,-0.95
196,196,-51.6543192106932,-0.95
197,197,-51.2817112385759,-0.95
198,198,-50.8980805096298,-0.95
199,199,-50.5427094645879,-0.95
200,200,-50.2105116018266,-0.95
201,201,-49.8766351935253,-0.95
202,202,-49.5016835501922,-0.95
203,203,-49.1353759326311,-0.95
204,204,-48.8517522000704,-0.95
205,205,-48.5453093183205,-0.95
206,206,-48.2023434164995,-0.95
207,207,-47.9090012917334,-0.95
208,208,-47.619065775016,-0.95
209,209,-47.3433108053942,-0.95
210,210,-47.098709259658,-0.95
211,211,-46.8678065516101,-0.95
212,212,-46.6590095028308,-0.95
213,213,-46.46264973429,-0.95
214,214,-46.2831436017763,-0.95
215,215,-46.1072081350183,-0.95
216,216,-45.9780639702587,-0.95
217,217,-45.8639587377991,-0.95
218,218,-45.7343686615015,-0.95
219,219,-45.5951161707709,-0.95
220,220,-45.4553712315581,-0.95
221,221,-45.3188505966882,-0.95
222,222,-45.1880491160923,-0.95
223,223,-45.0729561528413,-0.95
224,224,-45.0105001794056,-0.95
225,225,-44.9422006595314,-0.95
226,226,-44.8732750523733,-0.95
227,227,-44.8195232832202,-0.95
228,228,-44.7757951745729,-0.95
229,229,-44.695734391488,-0.95
230,230,-44.6448820610221,-0.95
231,231,-44.5988188554604,-0.95
232,232,-44.5570263349379,-0.95
233,233,-44.4770094906488,-0.95
234,234,-44.4376518275289,-0.95
235,235,-44.4088581480852,-0.95
236,236,-44.323973815944,-0.95
237,237,-44.2901330308999,-0.95
238,238,-44.2644024024803,-0.95
239,239,-44.17319935086,-0.95
240,240,-44.0796114541215,-0.95
241,241,-44.0005226722696,-0.95
242,242,-43.9348714473076,-0.95
243,243,-43.8144856591143,-0.95
244,244,-43.7034658071617,-0.95
245,245,-43.5322918930719,-0.95
246,246,-43.2874180106845,-0.95
247,247,-43.0588559946879,-0.95
248,248,-42.7807583884095,-0.95
249,249,-42.4819525904002,-0.95
250,250,-42.135989181817,-0.95
251,251,-41.7715931365746,-0.95
252,252,-41.3830223589079,-0.95
253,253,-40.9817327923395,-0.95
254,254,-40.562879062942,-0.95
255,255,-40.1751597929232,-0.95
256,256,-39.7207197645499,-0.95
257,257,-39.2675968862671,-0.95
258,258,-38.802531214717,-0.95
259,259,-38.3355442713662,-0.95
260,260,-37.8823795703775,-0.95
261,261,-37.4177364118046,-0.95
262,262,-36.9443258191173,-0.95
263,263,-36.4670189179841,-0.95
264,264,-35.9828621349135,-0.95
265,265,-35.4994979672721,-0.95
266,266,-35.0193827080509,-0.95
267,267,-34.5365683730965,-0.95
268,268,-34.0517864042514,-0.95
269,269,-33.5659228151254,-0.95
270,270,-33.0798596419181,-0.95
271,271,-32.5933746318865,-0.95
272,272,-32.1015191110125,-0.95
273,273,-31.6088354525463,-0.95
274,274,-31.1159004896975,-0.95
275,275,-30.6251008201329,-0.95
276,276,-30.1397036152808,-0.95
277,277,-29.654652225728,-0.95
278,278,-29.1699109993641,-0.95
279,279,-28.6853684827886,-0.95
280,280,-28.2007989049938,-0.95
281,281,-27.716011377156,-0.95
282,282,-27.2309487308909,-0.95
283,283,-26.7456564051927,-0.95
284,284,-26.2587079594312,-0.95
285,285,-25.7638012193049,-0.95
286,286,-25.2679802339212,-0.95
287,287,-24.7721477536539,-0.95
288,288,-24.2763533194871,-0.95
289,289,-23.7882577518323,-0.95
290,290,-23.296382431775,-0.95
291,291,-22.8038499477508,-0.95
292,292,-22.3107119087808,-0.95
293,293,-21.8171096826357,-0.95
294,294,-21.323073109278,-0.95
