GameTime;ScenarioTime;FrameRate;FrameRate-XRDevice;Frame Number;A car Pos;A car Rot;A accel;A steering;A velocity;A indicators
15.236380;1.581035;0.016679;0.000000;832;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
15.286860;1.631512;0.016792;0.000000;835;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.336730;1.681377;0.016732;0.000000;838;(84.689900, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.387240;1.731886;0.016829;0.000000;841;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.435690;1.780344;0.016457;0.000000;844;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.486630;1.831283;0.016691;0.000000;847;(84.689880, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.535560;1.880208;0.016448;0.000000;850;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.587400;1.932052;0.016842;0.000000;853;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.636150;1.980801;0.016556;0.000000;856;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.686330;2.030982;0.016619;0.000000;859;(84.689890, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.735640;2.080291;0.016532;0.000000;862;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.786740;2.131392;0.016713;0.000000;865;(84.689890, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.837020;2.181670;0.016789;0.000000;868;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000001, 0.000000);LeftFalse_RightFalse
15.886650;2.231301;0.016681;0.000000;871;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
15.936750;2.281404;0.016667;0.000000;874;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
15.985940;2.330590;0.016545;0.000000;877;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.036500;2.381145;0.016627;0.000000;880;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.086860;2.431511;0.016738;0.000000;883;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.136570;2.481220;0.016666;0.000000;886;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.186550;2.531204;0.016660;0.000000;889;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.236450;2.581097;0.016641;0.000000;892;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.286450;2.631104;0.016645;0.000000;895;(84.689880, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.337250;2.681896;0.016798;0.000000;898;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.386740;2.731392;0.016671;0.000000;901;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, -0.000001, 0.000000);LeftFalse_RightFalse
16.436050;2.780701;0.016510;0.000000;904;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.486560;2.831211;0.016679;0.000000;907;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000002);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.536540;2.881186;0.016639;0.000000;910;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000002);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.586620;2.931274;0.016667;0.000000;913;(84.689900, -0.003922, 58.010000);(0.000699, 270.000200, 0.000002);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.635990;2.980637;0.016532;0.000000;916;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000002);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.686810;3.031460;0.016756;0.000000;919;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, -0.000001, 0.000000);LeftFalse_RightFalse
16.735630;3.080284;0.016502;0.000000;922;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.786460;3.131109;0.016648;0.000000;925;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.836900;3.181553;0.016731;0.000000;928;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.885750;3.230396;0.016478;0.000000;931;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.937060;3.281712;0.016793;0.000000;934;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
16.986030;3.330679;0.016588;0.000000;937;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.036750;3.381401;0.016718;0.000000;940;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000000);0.000000;0.000000;(0.000000, -0.000001, 0.000000);LeftFalse_RightFalse
17.087010;3.431656;0.016784;0.000000;943;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, -0.000001, 0.000000);LeftFalse_RightFalse
17.136550;3.481201;0.016648;0.000000;946;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.186510;3.531158;0.016657;0.000000;949;(84.689890, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.237170;3.581823;0.016805;0.000000;952;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.286100;3.630754;0.016548;0.000000;955;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.336840;3.681486;0.016706;0.000000;958;(84.689900, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.386930;3.731583;0.016738;0.000000;961;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.436820;3.781467;0.016672;0.000000;964;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.486680;3.831329;0.016632;0.000000;967;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.536610;3.881264;0.016652;0.000000;970;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.586640;3.931288;0.016651;0.000000;973;(84.689900, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.636920;3.981573;0.016728;0.000000;976;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.686210;4.030863;0.016571;0.000000;979;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.736860;4.081512;0.016723;0.000000;982;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.785860;4.130514;0.016526;0.000000;985;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.836860;4.181507;0.016729;0.000000;988;(84.689900, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.887080;4.231733;0.016755;0.000000;991;(84.689890, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.937200;4.281849;0.016751;0.000000;994;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
17.986820;4.331469;0.016681;0.000000;997;(84.689890, -0.003922, 58.009990);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.036850;4.381502;0.016667;0.000000;1000;(84.689890, -0.003922, 58.010000);(0.000700, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.086820;4.431471;0.016715;0.000000;1003;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.136430;4.481081;0.016609;0.000000;1006;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.187020;4.531672;0.016744;0.000000;1009;(84.689890, -0.003922, 58.009990);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.235970;4.580620;0.016503;0.000000;1012;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.286900;4.631546;0.016690;0.000000;1015;(84.689880, -0.003922, 58.009990);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.336180;4.680832;0.016537;0.000000;1018;(84.689880, -0.003922, 58.010000);(0.000699, 270.000200, 0.000000);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.386760;4.731407;0.016657;0.000000;1021;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.436030;4.780682;0.016517;0.000000;1024;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.486770;4.831417;0.016696;0.000000;1027;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
18.536550;4.881205;0.016688;0.000000;1030;(84.689890, -0.003922, 58.010000);(0.000699, 270.000200, 0.000001);0.000000;0.000000;(0.000000, 0.000000, 0.000000);LeftFalse_RightFalse
